LBW1   -118.0884   33.7980   -0.0163
LBW2   -118.0884   33.7980   -0.0163
LGB    -118.1492   33.9753    0.0420
LKH    -116.7588   33.2360    0.8470
LLS    -117.9430   33.6845    0.0080
LMS    -117.4450   33.8174    0.4430
LPC    -117.5464   34.3148    1.3510
LRR2   -118.0300   34.5271    0.9060
LTR    -117.9903   34.5211    0.8550
LUC2   -116.9642   34.4564    0.8860
LUG    -117.3668   34.3656    1.1400
LVA    -116.5702   33.3492    1.4350
LVA2   -116.5615   33.3516    1.4350
MCT    -116.0407   34.2264    0.6610
MGD    -116.7606   33.1888    1.3000
MGE    -116.3687   33.8184    0.0680
MIK    -118.1260   34.1369    0.2750
MLS    -117.5616   34.0046    0.2300
MONP   -116.4225   32.8927    1.9200
MONP2  -116.4223   32.8920    1.8750
MSC    -116.6479   34.0385    0.9380
MSJ    -116.9679   33.8080    0.4660
MTG    -116.6473   33.1992    1.0920
MTRP   -117.0567   32.8203    0.2007
MUR    -117.1954   33.6000    0.5620
MWC    -118.0583   34.2236    1.7250
NSS    -115.9465   33.5561   -0.0160
NSS2   -115.9459   33.5555    0.0170
OGC    -117.8440   33.7882    0.0640
OLI    -117.9237   33.9454    0.1620
OLP    -116.9302   32.6077    0.1590
PALA   -117.0318   33.3890    0.5520
PDU    -117.6381   34.1207    0.4450
PER    -117.2053   33.8616    0.4680
PFBH   -116.4594   33.6117    1.2590
PFO    -116.4594   33.6117    1.2590
PLC    -116.5119   33.8244    0.1300
PLM    -116.8627   33.3536    1.6910
PLS    -117.6091   33.7953    1.1990
PMD    -116.3777   33.6478    0.2960
POB2   -116.9238   33.6871    0.9990
PRAN   -116.5919   33.6570    1.6730
PSD    -116.5503   33.8239    0.1440
PSPR   -116.6544   33.7061    1.6170
PSR    -117.8071   34.0918    0.3050
RA01   -116.7005   33.6063    1.4670
RA02   -116.7002   33.6067    1.4700
RA03   -116.7000   33.6069    1.4710
RA04   -116.6998   33.6071    1.4730
RA05   -116.6996   33.6072    1.4750
RA06   -116.6995   33.6074    1.4770
RA07   -116.6993   33.6075    1.4790
RA08   -116.6990   33.6078    1.4820
RA09   -116.6989   33.6079    1.4830
RA10   -116.6987   33.6080    1.4850
RA11   -116.6984   33.6083    1.4890
RA12   -116.6972   33.6094    1.5020
RDM    -116.8478   33.6300    1.3650
RHC2   -118.0133   34.0010    0.3620
RHIL   -116.7713   33.6732    1.5570
RIO    -117.9796   34.1047    0.1180
RKMO   -117.6095   33.6742    0.4080
RRS    -117.3665   33.8822    0.4200
RRSP   -116.7394   33.6515    1.6100
RSB    -117.3272   33.9731    0.2970
RSS    -117.3267   33.9733    0.2980
RUS    -118.0808   34.0508    0.0700
RVR    -117.3755   33.9935    0.2660
RXH    -115.6226   33.1831   -0.0590
SAL    -115.9858   33.2801    0.0140
SAN    -117.8858   33.7043    0.0110
SBP    -117.2349   34.2324    1.8430
SBPX   -117.2348   34.2324    1.8600
SCV1   -116.4597   33.6118    1.2680
SCV2   -116.4597   33.6118    1.2680
SDD    -117.6617   33.5526    0.1200
SDG    -117.1381   32.7840    0.1010
SDR    -116.9424   32.7356    0.1130
SETM   -116.5615   33.5097    1.2160
SFTR   -116.7502   33.6410    1.2420
SGBF0  -116.5917   33.5397    1.4340
SGBFA  -116.5919   33.5395    1.4320
SGBN1  -116.5915   33.5398    1.4350
SGBN2  -116.5912   33.5399    1.4390
SGBS1  -116.5919   33.5395    1.4320
SGBS2  -116.5922   33.5394    1.4310
SGBS3  -116.5926   33.5393    1.4300
SGL    -115.7264   32.6493    0.0750
SHUM   -116.4445   33.6327    1.1950
SJR    -116.8670   33.7420    0.5560
SJU    -117.6811   33.4873   -0.0030
SLB    -115.8664   33.4852    0.0000
SLH    -116.2540   33.1927    0.2080
SLR    -116.7974   33.8336    1.5670
SMER   -117.1708   33.4577    0.3557
SMER2  -117.1708   33.4577    0.3550
SMTC   -115.7999   32.9449    0.1000
SND    -116.6129   33.5519    1.3580
SNO    -116.8078   34.0352    2.3390
SNR    -115.4360   32.8618   -0.0630
SOF    -117.5574   33.3706    0.0100
SOL    -117.2480   32.8410    0.2450
SRN    -117.7894   33.8285    0.2080
SROS   -116.5179   33.5255    1.4930
SSW    -115.6156   33.1775   -0.0640
ST2C   -116.4597   33.6118    1.2680
STG    -117.7686   33.6640    0.0490
STS2   -116.4597   33.6118    1.2680
SVD    -117.0982   34.1065    0.6050
SWS    -115.7999   32.9451    0.1400
TA2    -117.6782   34.3820    2.2490
TAB    -117.6819   34.3824    2.2740
TFRD   -116.6022   33.4948    1.0000
THM    -116.0773   33.6507    0.0600
THP    -116.3390   33.8317    0.1211
THSB   -117.2269   32.8788    0.1200
THX    -116.1640   33.6350   -0.0310
TMSP   -116.6809   33.6192    2.0770
TONN   -116.1193   33.1442    0.0536
TOP    -116.4253   33.5241    2.6110
TOR    -116.2258   33.5753    0.0040
TPFO   -116.4544   33.6060    1.2750
TR01   -116.4135   33.4229    0.7740
TR02   -116.4168   33.4183    0.7700
TR03   -116.4233   33.4095    0.7390
TR04   -116.4260   33.3988    0.7740
TRAN   -116.5834   33.4955    1.1970
TRIL   -116.4597   33.6118    1.2680
TRO    -116.4257   33.5234    2.6280
TUBB   -116.4091   33.2101    0.3940
UPL    -117.6994   34.1482    0.5160
USGCB  -116.0853   33.0300    0.1630
VCS    -118.1178   34.4837    0.9920
VET    -118.0283   34.2968    1.7570
WES    -115.7316   32.7590   -0.0080
WLT    -117.9508   34.0095    0.1070
WMC    -116.6747   33.5736    1.2710
WMD    -115.5819   33.0383   -0.0450
WRDG   -116.7270   33.7312    1.5990
WWC    -116.4088   33.9407    0.6190
WWF    -115.5789   33.2788   -0.0610
YAQ    -116.3539   33.1666    0.4300
YUH2   -115.9223   32.6475    0.1840
